#	Name		1	2	3	4	5	6	7	8	Punkte
1	Messer		=	.5	1	0	0	0	0	0	1.5
2	Heusel		.5	=	0	0	0	1	.5	0	2
3	Budimir		0	1	=	0	0	1	0	1	3
4	Wenzel		1	1	1	=	0	1	0	0	4
5	Anton		1	1	1	1	=	0	1	.5	5.5
6	Schupp		1	0	0	0	1	=	.5	0	2.5
7	Sauer		1	.5	1	1	0	.5	=	0	4
8	Brunner		1	1	0	1	.5	1	1	=	5.5
